,URL,Name,Price,Rating,Reviews,ASIN,Manufacturer
0,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679.,4.0,"5,610 ratings",B09VTDMRY7,FUR JADEN
1,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",799.,4.4,121 ratings,B0BYSZ3TKW,FUR JADEN
2,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,Skybags Brat Black 46 Cms Casual Backpack,649,4.1,"5,525 ratings",B08Z1HHHTD,VIP Industries Ltd
3,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199.",4.0,"55,249 ratings",B07CJCGM1M,‎Samsonite
4,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442 ratings",B09VCLZ3K4,Amazing Bags
5,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,"4,990",4.4,108 ratings,B09ZYQJHXR,Encon Impex Pvt Ltd
6,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399.",4.1,"5,852 ratings",B09CQ5T3LN,
7,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students,"3,499.",4.6,99 ratings,B0C28QQMFJ,Fur Jaden
8,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,Red Lemon Medium Size Unisex Adult Bange Series Rhombus Shell Design Waterproof Sling Bag With Usb Charging,"1,899.",4.2,93 ratings,B09VGNTDRZ,
9,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,COSMUS Laptop Backpack for 15.6 inch Laptop Linux 39 litres Office Laptop Backpack,"1,878.",4.3,445 ratings,B01FUKZRCU,No
